Apparu,Index,Talent,Effet en combat
RS,1,Puanteur,"Quand le Pokémon inflige des dégâts à l’aide d’une capacité, il a 10 % de chances d’apeurer la cible."
RS,2,Crachin,"Quand le Pokémon arrive sur le terrain, il invoque la pluie pendant 5 tours."
RS,3,Turbo,La Vitesse du Pokémon augmente de 1 cran à la fin de chaque tour.
RS,4,Armurbaston,Le Pokémon est immunisé contre les coups critiques.
RS,5,Fermeté,"Si les PV du Pokémon sont au maximum et qu’il subit des dégâts d’une capacité qui devrait le mettre K.O. en un coup, il résiste avec 1 PV."
,,,Les capacités qui mettent toujours K.O. en un coup sont inefficaces sur le Pokémon.
RS,6,Moiteur,Le Pokémon empêche l’utilisation des capacités explosives et l’activation des talents explosifs.
RS,7,Échauffement,Le Pokémon est immunisé contre la paralysie.
RS,8,Voile Sable,"Lors des tempêtes de sable, l’Esquive du Pokémon est multipliée par 1,25."
RS,9,Statik,"Quand le Pokémon subit une capacité à contact, il a 30 % de chances de paralyser l’adversaire."
RS,10,Absorbe-Volt,Les capacités de type Électrik sont inefficaces sur le Pokémon et lui rendent 1/4 de ses PV max.
RS,11,Absorbe-Eau,Les capacités de type Eau sont inefficaces sur le Pokémon et lui rendent 1/4 de ses PV max.
RS,12,Benêt,"Le Pokémon est immunisé contre l’état « Attraction », la provocation ou l’intimidation."
RS,13,Ciel Gris,Le Pokémon annule tous les effets liés à la météo.
RS,14,Œil Composé,"La Précision des capacités du Pokémon est multipliée par 1,3."
RS,15,Insomnia,Le Pokémon est immunisé contre le sommeil et la somnolence.
RS,16,Homochromie,"Lorsque le Pokémon est touché par une capacité, il prend le type de celle-ci."
RS,17,Vaccin,Le Pokémon est immunisé contre le poison et le poison grave.
RS,18,Torche,Les capacités de type Feu sont inefficaces sur ce Pokémon et le font entrer dans l’état « Torche ».
RS,19,Écran Poudre,Le Pokémon est immunisé contre les effets additionnels des attaques.
RS,20,Tempo Perso,Le Pokémon est immunisé contre la confusion et l’intimidation.
RS,21,Ventouse,Le Pokémon est immunisé contre les capacités ou les objets des adversaires qui forcent à changer de Pokémon.
RS,22,Intimidation,"Quand le Pokémon arrive sur le terrain, il baisse l’Attaque des adversaires de 1 cran."
RS,23,Marque Ombre,Le Pokémon empêche les adversaires de quitter le terrain.
RS,24,Peau Dure,"Quand le Pokémon subit une capacité à contact, il inflige à l’adversaire des dégâts équivalents à 1/8 des PV max de celui-ci."
RS,25,Garde Mystik,"Une puissance mystérieuse protège le Pokémon contre toutes les capacités, sauf celles « super efficaces »."
RS,26,Lévitation,"Le Pokémon flotte au-dessus du sol, ce qui l’immunise contre les capacités de type Sol, ainsi que les effets de Picots, Pics Toxik et Toile Gluante."
RS,27,Pose Spore,"Quand le Pokémon subit une capacité à contact, il a 30 % de chances d’empoisonner, paralyser ou endormir l’adversaire."
RS,28,Synchro,"Si le Pokémon est empoisonné, gravement empoisonné, paralysé ou brûlé par une capacité ou un talent d’un autre Pokémon, ce dernier subit la même altération de statut."
RS,29,Corps Sain,Les stats du Pokémon ne peuvent pas baisser à cause des capacités ou du talent des adversaires.
RS,30,Médic Nature,"Quand le Pokémon revient dans son équipe, il soigne ses altérations de statut."
RS,31,Paratonnerre,Le Pokémon attire les capacités de type Électrik. Elles sont inefficaces sur lui et augmentent son Attaque Spéciale de 1 cran.
RS,32,Sérénité,Augmente les chances d'infliger des effets additionnels.
RS,33,Glissade,"Quand il pleut, la Vitesse du Pokémon est multipliée par 2."
RS,34,Chlorophylle,"Quand le soleil brille, la Vitesse du Pokémon est multipliée par 2."
RS,35,Luminescence,"Le Pokémon ignore les changements d’Esquive des adversaires, et sa Précision ne peut pas baisser."
RS,36,Calque,"Quand le Pokémon arrive sur le terrain, il adopte le même talent que l’adversaire."
RS,37,Coloforce,La puissance des capacités physiques du Pokémon est multipliée par 2.
RS,38,Point Poison,"Quand le Pokémon subit une capacité à contact, il a 30 % de chances d’empoisonner l’adversaire."
RS,39,Attention,"Le Pokémon ne peut pas être apeuré par les attaques des adversaires, et il est immunisé contre l’intimidation."
RS,40,Armumagma,Le Pokémon est immunisé contre le gel.
RS,41,Ignifu-Voile,Le voile qui recouvre le Pokémon le protège des brûlures.
RS,42,Magnépiège,"Attire les Pokémon Acier grâce à un champ magnétique, ce qui les empêche de quitter le terrain."
RS,43,Anti-Bruit,Le Pokémon est immunisé contre les capacités de son.
RS,44,Cuvette,"Quand il pleut, le Pokémon récupère 1/16 de ses PV max à la fin de chaque tour."
RS,45,Sable Volant,"Quand le Pokémon arrive sur le terrain, il invoque une tempête de sable pendant 5 tours."
RS,46,Pression,Les adversaires doivent dépenser 1 PP supplémentaire pour viser ce Pokémon avec leurs capacités.
RS,47,Isograisse,Les dégâts des capacités de types Feu et Glace subis par le Pokémon sont réduits de moitié.
RS,48,Matinal,Le Pokémon se réveille deux fois plus vite de l’endormissement.
RS,49,Corps Ardent,"Quand le Pokémon subit une capacité à contact, il a 30 % de chances de brûler l’adversaire."
RS,50,Fuite,"Le Pokémon peut être remplacé par un autre Pokémon de son équipe, même si des effets l’en empêchent."
RS,51,Regard Vif,"Le Pokémon ignore les changements d’Esquive des adversaires, et sa Précision ne peut pas baisser."
RS,52,Hyper Cutter,L’Attaque du Pokémon ne peut pas baisser à cause des capacités ou du talent des adversaires.
RS,53,Ramassage,"Quand le Pokémon ne tient pas d’objet, à la fin du tour, il ramasse celui qu’un autre Pokémon a consommé."
RS,54,Absentéisme,"Lorsque le Pokémon utilise une capacité, il passe le tour suivant à paresser."
RS,55,Agitation,"Quand le Pokémon utilise une capacité physique, son Attaque est multipliée par 1,5, tandis que sa Précision est multipliée par 0,8."
RS,56,Joli Sourire,"Quand le Pokémon subit une capacité à contact d’un adversaire du sexe opposé, il a 30 % de chances de lui infliger l’état « Attraction »."
RS,57,Plus,"L’Attaque Spéciale du Pokémon est multipliée par 1,5 si un allié présent sur le terrain a le talent Plus ou le talent Moins."
RS,58,Moins,"L’Attaque Spéciale du Pokémon est multipliée par 1,5 si un allié présent sur le terrain a le talent Plus ou le talent Moins."
RS,59,Météo,"Le Pokémon prend le type Eau, Feu ou Glace en fonction de la météo."
RS,60,Glu,Le Pokémon ne peut pas perdre l’objet qu’il tient. Les adversaires ne peuvent pas le dérober.
RS,61,Mue,Le Pokémon a 30 % de chances de soigner ses altérations de statut à la fin de chaque tour.
RS,62,Cran,"Quand le Pokémon souffre d’une altération de statut, son Attaque est multipliée par 1,5."
,,,"De plus, lorsque le Pokémon est brûlé, les dégâts qu’il inflige avec ses capacités physiques ne sont pas réduits de moitié."
RS,63,Écaille Spéciale,"Quand le Pokémon souffre d’une altération de statut, sa Défense est multipliée par 1,5."
RS,64,Suintement,"Quand le Pokémon subit une capacité absorbant des PV, il empêche l’adversaire de se soigner et lui inflige des dégâts équivalents à la quantité de PV qui aurait dû être absorbée."
RS,65,Engrais,"Quand les PV du Pokémon sont inférieurs ou égaux à 1/3 de ses PV max, la puissance de ses capacités de type Plante est multipliée par 1,5."
RS,66,Brasier,"Quand les PV du Pokémon sont inférieurs ou égaux à 1/3 de ses PV max, la puissance de ses capacités de type Feu est multipliée par 1,5."
RS,67,Torrent,"Quand les PV du Pokémon sont inférieurs ou égaux à 1/3 de ses PV max, la puissance de ses capacités de type Eau est multipliée par 1,5."
RS,68,Essaim,"Quand les PV du Pokémon sont inférieurs ou égaux à 1/3 de ses PV max, la puissance de ses capacités de type Insecte est multipliée par 1,5."
RS,69,Tête de Roc,Le Pokémon peut utiliser des capacités qui devraient normalement aussi lui infliger des dégâts sans perdre de PV.
RS,70,Sécheresse,"Quand le Pokémon arrive sur le terrain, il invoque le soleil pendant 5 tours."
RS,71,Piège Sable,Empêche l'adversaire de quitter le terrain.
RS,72,Esprit Vital,Le Pokémon est immunisé contre le sommeil et la somnolence.
RS,73,Écran Fumée,Les stats du Pokémon ne peuvent pas baisser à cause des capacités ou du talent des adversaires.
RS,74,Force Pure,La puissance des capacités physiques du Pokémon est multipliée par 2.
RS,75,Coque Armure,Le Pokémon est immunisé contre les coups critiques.
RS,76,Air Lock,Annule tous les effets de la météo.
RS,[note 1],Cacophonie,Évite les attaques sonores.
DP,77,Pied Confus,"Quand le Pokémon est confus, son Esquive est multipliée par 2."
DP,78,Motorisé,Les capacités de type Électrik sont inefficaces sur le Pokémon et augmentent sa Vitesse de 1 cran.
DP,79,Rivalité,"La puissance des capacités du Pokémon est multipliée par 1,25 si l’adversaire est du même sexe, et par 0,75 s’il est du sexe opposé."
,,,"Si l’un ou l’autre Pokémon est de sexe inconnu, les capacités conservent leur puissance d’origine."
DP,80,Impassible,"Quand le Pokémon est apeuré, sa Vitesse augmente de 1 cran."
DP,81,Rideau Neige,"Quand il neige, l’Esquive du Pokémon est multipliée par 1,25."
DP,82,Gloutonnerie,"Le Pokémon n’attend pas qu’il lui reste 1/4 de ses PV ou moins pour manger la Baie qu’il tient, il la mange quand ses PV sont réduits de moitié ou moins."
DP,83,Colérique,"Quand le Pokémon subit un coup critique, son Attaque augmente et atteint le 6? cran."
